AreaType,AQI,PM2.5,PM10,NO2,SO2,CO,O3,TrafficDensity,RoadDistance,DustIndex,Temperature,Humidity,Rainfall,WindSpeed,Sunlight,SoilType,SoilPH,Drainage,SpaceType,AreaSize,MaintenanceLevel,WateringPreference,Purpose,RecommendedPlant
Rural,86,29.3,67.1,9.9,3.2,0.36,54.8,High,14,86,27,56,205,13,Full Sun,Loamy,6.9,Good,Outdoor,Large,Low,Rare,Shade,Banyan
Residential,91,32.0,66.6,9.5,2.7,0.34,57.6,High,15,84,35,66,248,12,Full Sun,Loamy,6.9,Good,Outdoor,Medium,Low,Rare,Air Purification,Neem
Rural,68,21.6,54.4,6.8,2.4,0.23,64.4,Medium,12,52,27,56,234,5,Full Sun,Clay,7.3,Good,Balcony,Large,Medium,Regular,Air Purification,Peepal
Urban,102,35.3,72.6,10.8,4.1,0.39,58.6,High,22,100,31,70,100,5,Full Sun,Clay,7.5,Moderate,Balcony,Medium,Medium,Regular,Shade,Banyan
Residential,80,22.0,60.1,8.3,2.3,0.27,47.4,Medium,18,46,17,40,68,11,Partial Shade,Loamy,6.2,Good,Indoor,Medium,Low,Regular,Air Purification,ZZ Plant
Urban,105,33.5,75.6,10.9,3.7,0.35,63.2,High,13,76,22,74,186,0,Partial Shade,Sandy,6.1,Good,Indoor,Medium,Low,Rare,Shade,Peace Lily
Residential,47,16.6,45.6,4.3,1.5,0.14,39.5,Low,56,17,29,73,163,4,Full Shade,Loamy,6.2,Moderate,Indoor,Large,Medium,Regular,Shade,Peace Lily
Urban,105,38.5,74.9,10.9,3.9,0.38,56.0,High,11,100,33,41,37,3,Partial Shade,Clay,7.0,Poor,Indoor,Large,Low,Frequent,Decoration,ZZ Plant
Urban,86,28.3,65.5,8.2,3.2,0.3,45.4,Medium,18,68,35,69,82,11,Partial Shade,Loamy,6.9,Moderate,Indoor,Medium,Medium,Frequent,Shade,Ashoka
Residential,50,16.0,34.3,3.5,1.8,0.16,49.6,Low,30,29,32,51,180,0,Partial Shade,Clay,7.0,Moderate,Indoor,Small,High,Rare,Shade,Snake Plant
Residential,61,20.7,41.4,4.7,1.9,0.21,53.3,Low,76,49,28,58,227,12,Full Sun,Clay,7.0,Moderate,Outdoor,Medium,Medium,Frequent,Air Purification,Peepal
Residential,84,30.9,66.0,9.6,3.5,0.32,63.3,High,25,87,35,58,172,4,Full Sun,Clay,7.0,Moderate,Balcony,Large,Low,Regular,Edible,Mango
Rural,49,16.9,38.4,3.6,1.8,0.19,51.7,Low,59,17,30,74,237,8,Full Sun,Loamy,6.8,Good,Outdoor,Small,Low,Regular,Edible,Coconut
Urban,78,29.2,57.6,8.7,3.1,0.3,61.5,Medium,61,57,34,25,0,3,Full Sun,Sandy,6.5,Good,Balcony,Small,Medium,Regular,Decoration,Bougainvillea
Urban,65,17.0,60.4,6.0,3.0,0.27,45.0,Medium,48,49,26,75,208,0,Full Shade,Clay,6.4,Moderate,Indoor,Small,Low,Rare,Air Purification,Peace Lily
Urban,70,29.0,54.0,6.1,2.9,0.31,52.3,Medium,49,71,34,52,24,0,Partial Shade,Sandy,5.5,Good,Balcony,Large,Medium,Regular,Edible,Mango
Residential,39,16.0,34.2,4.0,1.9,0.15,45.3,Low,70,35,31,95,327,14,Partial Shade,Sandy,6.6,Good,Outdoor,Small,Medium,Rare,Shade,Coconut
Residential,85,30.4,69.6,9.0,2.3,0.31,62.4,Medium,37,78,33,49,56,11,Full Sun,Loamy,6.4,Good,Balcony,Medium,Low,Regular,Decoration,Bougainvillea
Urban,80,26.7,64.4,7.7,2.4,0.28,49.2,Medium,65,77,27,35,23,0,Full Sun,Clay,7.5,Moderate,Indoor,Small,Medium,Regular,Edible,Tulsi
Residential,46,16.8,44.6,5.4,2.8,0.16,53.4,Low,64,23,23,93,305,10,Full Sun,Loamy,6.4,Good,Balcony,Small,High,Regular,Edible,Tulsi
Urban,105,36.8,67.9,10.9,4.8,0.4,60.3,High,14,82,26,43,25,12,Partial Shade,Loamy,6.4,Good,Outdoor,Large,Low,Rare,Air Purification,Snake Plant
Urban,91,31.2,66.9,9.6,3.2,0.33,54.9,Medium,73,90,33,74,123,0,Full Sun,Sandy,6.6,Moderate,Indoor,Small,High,Frequent,Air Purification,Peace Lily
Rural,70,25.8,54.9,7.5,2.3,0.29,59.8,High,5,49,25,95,355,5,Full Sun,Sandy,6.8,Moderate,Balcony,Large,Low,Rare,Air Purification,Neem
Urban,60,20.0,49.0,5.2,1.8,0.19,49.7,Low,93,48,31,43,53,0,Partial Shade,Clay,7.5,Moderate,Indoor,Small,Low,Rare,Air Purification,Snake Plant
Urban,105,30.7,77.2,11.7,3.2,0.39,64.8,High,10,62,33,37,18,8,Partial Shade,Loamy,6.1,Moderate,Indoor,Medium,Low,Rare,Edible,Snake Plant
Rural,71,21.1,55.7,5.9,3.3,0.28,46.8,Medium,80,44,30,86,188,1,Partial Shade,Sandy,6.0,Moderate,Indoor,Medium,Low,Rare,Edible,Snake Plant
Urban,59,18.8,47.9,6.2,3.2,0.23,40.2,Low,100,13,32,25,27,6,Partial Shade,Sandy,6.5,Good,Indoor,Medium,Medium,Regular,Air Purification,ZZ Plant
Rural,38,14.4,33.0,4.7,1.6,0.13,60.8,Low,91,21,26,60,138,11,Full Sun,Clay,6.8,Poor,Outdoor,Large,High,Regular,Edible,Mango
Urban,93,33.3,69.0,10.2,3.1,0.31,59.0,High,5,88,29,68,111,9,Full Sun,Loamy,6.4,Moderate,Outdoor,Medium,Medium,Frequent,Shade,Banyan
Urban,71,28.3,56.6,8.2,3.4,0.29,52.2,Medium,75,63,29,55,75,16,Partial Shade,Loamy,6.7,Good,Outdoor,Medium,High,Frequent,Shade,Peepal
Residential,72,21.4,60.0,8.9,3.1,0.26,60.5,Medium,29,60,31,57,116,10,Full Sun,Loamy,6.1,Good,Balcony,Medium,High,Frequent,Shade,Peepal
Urban,85,28.4,60.5,8.2,3.8,0.28,67.7,Medium,41,71,32,65,202,13,Full Sun,Loamy,6.5,Good,Balcony,Large,Medium,Frequent,Air Purification,Tulsi
Urban,102,36.0,74.8,11.7,4.1,0.41,59.0,High,50,86,26,46,24,5,Full Sun,Loamy,7.6,Moderate,Indoor,Medium,Low,Rare,Air Purification,ZZ Plant
Rural,66,24.5,53.3,7.7,3.0,0.25,65.5,Medium,43,45,32,55,156,11,Full Sun,Loamy,6.9,Good,Outdoor,Small,Medium,Regular,Air Purification,Peepal
Residential,95,30.5,67.6,9.4,3.1,0.31,68.9,Medium,7,53,34,76,239,13,Full Sun,Clay,7.6,Good,Outdoor,Small,Medium,Regular,Decoration,Ashoka
Urban,83,21.5,59.8,8.6,2.8,0.3,63.5,Medium,54,48,21,35,58,13,Full Sun,Sandy,6.2,Good,Outdoor,Small,Low,Rare,Decoration,Bougainvillea
Residential,50,17.1,35.7,3.2,1.5,0.17,50.6,Low,75,35,24,53,62,13,Full Shade,Sandy,6.6,Good,Outdoor,Large,Medium,Regular,Edible,Guava
Urban,92,26.7,70.8,11.0,4.4,0.37,59.6,High,46,65,37,86,126,0,Partial Shade,Loamy,7.3,Good,Indoor,Small,Medium,Regular,Air Purification,Money Plant
Urban,97,31.1,67.9,10.6,3.2,0.36,57.3,High,42,75,30,48,67,0,Partial Shade,Sandy,7.7,Good,Indoor,Medium,Medium,Frequent,Shade,Neem
Urban,103,35.0,75.4,11.3,4.3,0.39,62.9,High,39,86,27,52,0,0,Partial Shade,Clay,6.4,Moderate,Indoor,Medium,High,Frequent,Air Purification,Snake Plant
Residential,78,26.2,63.0,8.4,2.0,0.3,60.2,Medium,66,62,29,65,103,5,Full Sun,Loamy,7.0,Good,Outdoor,Medium,Low,Frequent,Air Purification,Neem
Rural,86,30.7,57.9,8.8,3.3,0.28,67.8,High,5,65,32,84,311,14,Full Sun,Loamy,7.2,Moderate,Outdoor,Small,Low,Rare,Decoration,Coconut
Urban,74,26.0,56.2,7.1,2.8,0.28,43.8,Low,91,59,28,60,214,0,Full Shade,Sandy,7.1,Good,Indoor,Small,Medium,Regular,Air Purification,Money Plant
Rural,85,30.8,66.2,7.4,3.2,0.36,54.9,High,17,70,30,62,171,3,Partial Shade,Sandy,6.7,Poor,Balcony,Medium,Medium,Frequent,Decoration,Ashoka
Residential,52,16.3,44.0,5.3,2.0,0.16,54.0,Low,85,39,35,62,240,4,Partial Shade,Clay,7.1,Good,Balcony,Medium,High,Regular,Shade,Ashoka
Rural,34,13.1,31.3,3.3,1.7,0.14,44.5,Low,92,21,23,68,129,7,Partial Shade,Loamy,5.7,Poor,Outdoor,Large,Medium,Regular,Air Purification,Bamboo
Residential,65,25.2,49.2,5.2,2.7,0.24,43.6,Medium,28,36,32,72,201,3,Full Shade,Sandy,6.6,Good,Indoor,Large,Medium,Frequent,Air Purification,Areca Palm
Residential,78,28.1,63.0,8.4,2.7,0.25,64.1,Medium,26,56,33,72,240,14,Partial Shade,Loamy,6.6,Good,Outdoor,Large,Medium,Regular,Air Purification,Bamboo
Residential,68,23.2,57.6,6.3,2.8,0.26,60.0,Medium,31,53,25,70,115,5,Full Sun,Sandy,6.5,Good,Outdoor,Large,Medium,Regular,Shade,Banyan
Rural,48,17.3,43.9,6.4,1.4,0.18,54.8,Low,66,19,28,62,252,10,Full Sun,Loamy,7.0,Moderate,Outdoor,Medium,Medium,Regular,Edible,Guava
Urban,93,30.2,67.3,8.1,3.9,0.29,63.6,Medium,41,63,34,68,217,2,Full Sun,Clay,6.9,Moderate,Balcony,Large,Medium,Rare,Decoration,Ashoka
Rural,62,23.6,44.1,5.9,2.3,0.22,46.9,Low,54,34,34,93,338,4,Partial Shade,Loamy,6.5,Poor,Indoor,Small,Low,Regular,Decoration,Money Plant
Residential,47,17.5,37.0,4.0,1.8,0.16,52.0,Low,74,10,30,43,143,14,Full Sun,Loamy,7.0,Good,Outdoor,Large,Medium,Frequent,Shade,Peepal
Residential,78,24.5,57.7,6.4,2.6,0.29,58.0,Medium,47,56,25,66,127,15,Partial Shade,Loamy,6.3,Good,Outdoor,Medium,Low,Frequent,Air Purification,Areca Palm
Rural,44,18.8,46.5,4.3,1.9,0.18,55.9,Low,50,26,22,46,124,18,Full Sun,Sandy,6.0,Good,Outdoor,Medium,Low,Regular,Air Purification,Guava
Urban,74,29.1,56.3,6.8,3.7,0.29,48.9,Medium,35,47,23,72,163,6,Full Shade,Clay,7.1,Good,Indoor,Large,High,Regular,Decoration,Spider Plant
Rural,81,24.8,56.1,8.5,3.2,0.33,66.7,High,54,58,24,63,291,13,Full Sun,Loamy,6.9,Good,Outdoor,Medium,High,Regular,Shade,Banyan
Urban,74,25.9,56.5,5.0,3.1,0.27,60.3,Low,76,52,32,76,121,4,Full Sun,Loamy,6.6,Poor,Outdoor,Large,Low,Rare,Air Purification,Neem
Urban,86,31.9,53.2,9.8,3.9,0.32,47.4,Medium,55,49,20,50,0,3,Full Shade,Loamy,6.6,Good,Indoor,Medium,High,Regular,Decoration,Spider Plant
Residential,86,31.7,64.0,9.2,3.0,0.34,72.4,High,23,77,35,79,295,1,Full Sun,Sandy,5.9,Good,Balcony,Large,Medium,Regular,Air Purification,Bamboo
Residential,79,23.9,55.2,7.6,2.7,0.29,66.3,Medium,50,36,31,66,166,17,Full Sun,Loamy,6.7,Good,Outdoor,Large,Medium,Regular,Decoration,Ashoka
Rural,52,19.1,47.4,3.4,2.3,0.21,52.1,Low,60,35,24,70,197,16,Full Sun,Clay,7.1,Good,Outdoor,Medium,Medium,Frequent,Decoration,Ashoka
Urban,94,32.3,75.9,10.0,3.1,0.37,49.3,High,22,81,30,55,0,5,Full Shade,Sandy,6.7,Moderate,Indoor,Medium,Medium,Frequent,Decoration,Snake Plant
Rural,49,17.1,43.7,5.6,2.1,0.18,50.8,Low,89,30,27,66,161,14,Full Sun,Clay,7.0,Moderate,Outdoor,Medium,Low,Regular,Decoration,Peepal
Residential,77,19.9,66.3,8.1,2.6,0.3,62.3,Medium,43,77,29,29,0,6,Full Sun,Loamy,6.4,Moderate,Balcony,Large,Low,Rare,Shade,Neem
Urban,64,22.5,43.9,4.6,3.5,0.22,63.1,Low,51,45,31,35,0,14,Full Sun,Loamy,7.3,Good,Outdoor,Large,High,Frequent,Edible,Mango
Urban,105,40.4,74.8,11.0,3.9,0.35,53.9,High,22,100,35,63,95,5,Full Shade,Sandy,6.2,Poor,Indoor,Small,High,Frequent,Shade,Snake Plant
Residential,98,29.6,68.5,10.1,3.1,0.35,58.8,High,5,77,26,43,38,9,Partial Shade,Sandy,6.9,Good,Balcony,Medium,Low,Rare,Air Purification,Snake Plant
Rural,50,18.7,44.0,5.8,1.0,0.18,45.4,Medium,45,46,28,74,73,8,Partial Shade,Sandy,6.0,Good,Outdoor,Large,Medium,Regular,Shade,Banyan
Rural,44,15.6,42.3,4.2,1.9,0.17,56.0,Low,67,32,33,47,118,15,Partial Shade,Loamy,6.7,Good,Outdoor,Medium,Low,Rare,Air Purification,Neem
Rural,48,26.0,36.9,4.5,1.7,0.18,58.5,Low,56,23,31,78,210,11,Full Sun,Loamy,6.9,Poor,Outdoor,Medium,High,Regular,Air Purification,Peepal
Residential,71,23.7,52.7,7.5,2.8,0.27,54.2,Medium,68,68,30,73,255,3,Partial Shade,Clay,7.0,Moderate,Indoor,Small,Medium,Regular,Edible,Areca Palm
Rural,52,16.6,41.0,5.9,2.2,0.18,59.0,Low,63,25,31,78,289,12,Full Sun,Sandy,6.5,Good,Outdoor,Medium,Low,Rare,Air Purification,Coconut
Urban,83,26.9,59.1,7.7,4.0,0.33,55.4,Medium,41,62,27,50,52,2,Partial Shade,Loamy,7.4,Good,Balcony,Medium,Medium,Rare,Air Purification,ZZ Plant
Urban,88,26.8,71.7,9.1,3.2,0.35,65.8,Medium,44,73,27,62,3,2,Full Sun,Loamy,6.2,Moderate,Balcony,Small,Medium,Regular,Shade,Peepal
Residential,63,25.6,53.3,7.1,2.1,0.28,65.2,Medium,56,70,27,74,165,13,Full Sun,Sandy,6.1,Moderate,Outdoor,Large,Low,Frequent,Air Purification,Bamboo
Urban,89,29.9,67.0,10.1,3.7,0.34,46.1,High,39,79,24,58,125,7,Full Shade,Loamy,6.9,Poor,Indoor,Small,Low,Rare,Air Purification,Snake Plant
Residential,101,33.5,78.2,10.0,4.0,0.37,60.1,High,17,75,26,65,95,4,Partial Shade,Loamy,7.1,Moderate,Balcony,Large,Low,Rare,Air Purification,Snake Plant
Urban,94,32.8,67.0,10.6,3.1,0.41,61.8,High,52,69,35,93,241,0,Full Shade,Clay,7.4,Poor,Indoor,Small,Medium,Rare,Shade,Snake Plant
Residential,60,21.8,48.8,5.9,2.2,0.23,62.4,Low,42,43,22,60,199,9,Full Sun,Sandy,6.3,Good,Outdoor,Medium,Low,Regular,Shade,Banyan
Urban,66,19.7,51.5,6.0,3.1,0.24,51.7,Medium,55,56,28,46,20,1,Partial Shade,Clay,7.1,Good,Indoor,Medium,Medium,Regular,Decoration,ZZ Plant
Residential,97,28.3,68.8,10.3,4.4,0.37,58.9,High,16,57,30,48,191,10,Partial Shade,Clay,7.1,Poor,Balcony,Medium,High,Regular,Decoration,Money Plant
Urban,105,31.9,73.3,11.2,4.3,0.4,65.7,High,15,87,34,59,0,14,Full Shade,Loamy,6.4,Moderate,Outdoor,Medium,Low,Rare,Air Purification,Snake Plant
Residential,66,22.1,46.1,7.0,2.6,0.22,54.4,Medium,24,44,26,58,320,11,Full Shade,Clay,6.6,Moderate,Outdoor,Large,Medium,Frequent,Shade,Peepal
Residential,82,26.7,56.8,8.5,3.0,0.33,48.1,High,53,88,20,84,266,6,Full Shade,Loamy,6.9,Good,Indoor,Large,High,Frequent,Decoration,Peace Lily
Residential,84,29.8,59.8,7.2,2.9,0.32,50.2,Medium,38,52,28,55,0,7,Full Sun,Sandy,6.3,Moderate,Indoor,Medium,Medium,Rare,Edible,Guava
Rural,75,26.6,64.1,9.3,2.8,0.26,49.4,High,7,57,33,80,297,14,Full Sun,Sandy,5.6,Good,Outdoor,Large,Low,Rare,Decoration,Coconut
Rural,85,30.3,59.8,8.7,2.4,0.31,60.9,High,25,76,28,33,152,17,Full Sun,Loamy,6.3,Moderate,Outdoor,Large,Medium,Rare,Shade,Peepal
Residential,90,27.9,62.1,8.9,3.5,0.3,63.6,Medium,21,31,31,40,106,15,Full Sun,Loamy,6.9,Moderate,Outdoor,Medium,Medium,Regular,Edible,Guava
Rural,41,20.1,43.3,4.5,1.0,0.15,55.6,Low,75,53,29,71,260,11,Full Sun,Sandy,6.3,Good,Balcony,Large,Low,Regular,Decoration,Coconut
Rural,56,22.2,46.5,4.9,1.9,0.19,47.6,Low,76,21,26,78,211,5,Partial Shade,Loamy,6.7,Moderate,Indoor,Medium,Low,Regular,Decoration,Peace Lily
Residential,41,18.1,38.6,5.1,1.1,0.13,47.2,Low,64,24,28,63,159,0,Partial Shade,Loamy,6.5,Moderate,Indoor,Medium,High,Rare,Edible,Tulsi
Residential,41,16.5,39.3,4.6,2.0,0.13,61.3,Low,73,18,33,44,60,13,Full Sun,Loamy,6.2,Good,Outdoor,Medium,Medium,Regular,Edible,Mango
Rural,78,32.3,60.6,10.1,2.6,0.3,59.1,High,34,88,31,70,202,13,Partial Shade,Sandy,6.2,Poor,Outdoor,Large,Medium,Frequent,Edible,Guava
Residential,96,33.5,65.6,9.1,3.2,0.37,63.0,High,29,91,25,36,164,10,Full Sun,Sandy,6.3,Good,Outdoor,Large,Medium,Rare,Shade,Neem
Urban,72,23.5,51.8,5.7,3.1,0.21,53.9,Low,86,26,23,52,119,5,Full Sun,Loamy,6.9,Good,Outdoor,Medium,Medium,Rare,Shade,Peepal
Urban,102,34.8,69.4,12.0,4.8,0.37,62.8,High,5,78,27,47,157,14,Partial Shade,Sandy,6.4,Moderate,Outdoor,Large,Low,Frequent,Decoration,Ashoka
Urban,105,31.8,78.4,10.9,3.7,0.4,56.3,High,31,100,36,95,156,1,Partial Shade,Loamy,6.3,Moderate,Indoor,Small,Medium,Frequent,Decoration,Peace Lily
Rural,55,22.5,38.4,4.5,1.4,0.22,50.4,Low,91,35,30,47,120,10,Partial Shade,Sandy,6.9,Good,Balcony,Large,Medium,Regular,Decoration,Bougainvillea
Urban,67,22.4,57.5,5.5,2.9,0.21,54.1,Low,100,45,34,25,46,0,Partial Shade,Loamy,6.0,Moderate,Balcony,Small,Low,Rare,Shade,Aloe Vera
Residential,86,28.3,67.5,9.6,3.8,0.35,65.3,High,46,75,21,60,113,7,Full Sun,Loamy,6.3,Good,Balcony,Large,High,Frequent,Decoration,Ashoka
Rural,52,20.6,48.1,4.8,2.4,0.2,45.0,Low,89,33,28,53,209,9,Full Shade,Loamy,7.4,Good,Outdoor,Large,Low,Regular,Decoration,Banyan
Urban,99,30.8,68.6,9.7,3.7,0.35,58.9,High,8,65,29,46,20,7,Partial Shade,Clay,7.2,Good,Indoor,Large,High,Frequent,Edible,Tulsi
Residential,86,28.2,58.7,8.1,2.3,0.26,59.1,Medium,26,42,30,44,159,5,Full Sun,Loamy,6.4,Moderate,Outdoor,Large,Medium,Regular,Shade,Peepal
Urban,95,32.8,72.0,8.7,4.8,0.4,60.0,High,5,98,32,31,78,13,Full Sun,Loamy,6.2,Good,Outdoor,Large,High,Frequent,Air Purification,Neem
Urban,81,24.2,60.5,8.3,2.3,0.3,61.9,Medium,55,46,28,50,89,10,Full Sun,Loamy,7.4,Moderate,Outdoor,Large,High,Regular,Air Purification,Peepal
Urban,80,29.2,60.1,8.7,4.0,0.31,51.9,Medium,52,56,30,83,266,2,Partial Shade,Sandy,5.9,Good,Indoor,Medium,Medium,Frequent,Air Purification,Peace Lily
Urban,94,30.0,59.5,9.0,3.2,0.34,50.3,High,33,84,34,29,0,4,Partial Shade,Sandy,6.0,Good,Indoor,Medium,Medium,Frequent,Air Purification,Snake Plant
Urban,105,33.7,83.3,11.4,4.0,0.4,54.2,High,17,100,36,40,29,3,Partial Shade,Sandy,6.0,Good,Indoor,Large,Low,Frequent,Air Purification,ZZ Plant
Rural,50,19.7,50.1,5.5,1.7,0.16,53.5,Low,94,56,27,72,338,7,Full Sun,Loamy,6.3,Poor,Outdoor,Large,High,Rare,Shade,Banyan
Rural,58,21.1,46.6,5.8,1.9,0.22,56.5,Medium,50,48,30,77,163,12,Full Sun,Clay,7.0,Moderate,Outdoor,Medium,Medium,Rare,Shade,Banyan
Residential,55,18.2,49.0,7.1,1.9,0.18,59.6,Medium,62,61,26,58,233,17,Full Sun,Sandy,6.6,Good,Outdoor,Small,Medium,Regular,Shade,Banyan
Urban,90,31.6,67.4,10.0,4.1,0.36,59.0,High,34,69,34,78,247,4,Partial Shade,Sandy,6.6,Good,Indoor,Medium,Medium,Frequent,Shade,Areca Palm
Rural,47,17.8,45.4,3.9,1.8,0.15,46.3,Medium,31,53,24,49,4,12,Full Shade,Clay,8.0,Moderate,Outdoor,Large,High,Regular,Decoration,Bougainvillea
Urban,105,34.2,78.4,10.2,3.5,0.38,61.3,High,13,100,27,33,0,8,Full Sun,Sandy,6.3,Moderate,Outdoor,Small,Medium,Frequent,Air Purification,Neem
Rural,44,13.8,35.9,6.0,1.9,0.19,53.4,Low,42,26,23,63,120,13,Full Sun,Sandy,6.9,Moderate,Outdoor,Large,Medium,Frequent,Decoration,Ashoka
Residential,79,28.4,60.3,7.2,4.1,0.32,56.7,Medium,44,57,32,57,106,12,Full Sun,Sandy,6.2,Good,Outdoor,Large,Medium,Frequent,Decoration,Bougainvillea
Urban,65,22.3,46.9,4.3,2.7,0.21,43.5,Low,60,10,27,71,70,8,Full Shade,Loamy,7.1,Good,Indoor,Large,Medium,Regular,Shade,Ashoka
Residential,69,24.8,52.8,5.7,2.3,0.23,53.5,Medium,53,49,30,49,109,7,Full Shade,Loamy,7.9,Good,Outdoor,Large,Low,Rare,Air Purification,Neem
Urban,105,34.2,80.6,11.1,4.8,0.37,66.3,High,38,80,27,67,95,6,Partial Shade,Clay,8.2,Moderate,Balcony,Small,Medium,Rare,Shade,Peepal
Urban,81,28.1,65.1,7.9,2.7,0.28,53.3,Medium,20,72,25,90,261,3,Partial Shade,Loamy,6.9,Good,Indoor,Medium,Medium,Frequent,Shade,Bamboo
Residential,63,20.7,50.4,4.4,2.1,0.26,59.7,Low,65,25,32,62,242,18,Full Sun,Clay,7.2,Moderate,Outdoor,Medium,High,Regular,Decoration,Ashoka
Urban,67,23.5,57.8,5.4,2.6,0.22,50.6,Low,96,47,33,58,139,0,Partial Shade,Loamy,7.0,Good,Indoor,Medium,Medium,Regular,Edible,Tulsi
Rural,57,20.6,52.5,6.4,2.3,0.2,54.5,Medium,47,41,33,69,237,10,Partial Shade,Loamy,6.4,Good,Outdoor,Large,Low,Rare,Air Purification,Bamboo
Urban,82,22.1,63.2,7.7,3.2,0.32,41.9,Medium,77,73,28,65,137,6,Full Shade,Sandy,6.5,Good,Indoor,Small,High,Regular,Edible,Money Plant
Urban,71,19.9,51.5,6.6,2.8,0.22,51.9,Medium,87,54,30,70,122,1,Full Sun,Sandy,6.2,Good,Indoor,Medium,Medium,Regular,Air Purification,Money Plant
Rural,78,26.5,58.1,8.7,3.4,0.29,56.0,High,5,76,29,55,210,14,Partial Shade,Loamy,6.2,Good,Outdoor,Large,Low,Regular,Air Purification,Bamboo
Residential,74,25.8,59.5,7.1,3.3,0.29,44.8,Medium,51,44,33,39,100,0,Partial Shade,Loamy,6.7,Poor,Indoor,Medium,Medium,Rare,Decoration,Snake Plant
Urban,97,32.1,68.1,10.2,4.0,0.38,55.4,High,33,91,17,75,156,0,Partial Shade,Loamy,6.2,Good,Indoor,Medium,Medium,Regular,Edible,Areca Palm
Residential,81,25.4,65.1,9.2,2.9,0.29,59.2,High,47,56,35,68,170,13,Full Sun,Clay,6.6,Moderate,Outdoor,Medium,High,Frequent,Edible,Guava
Urban,86,27.9,50.0,8.2,3.0,0.32,47.9,High,35,56,30,41,205,0,Full Shade,Sandy,6.5,Moderate,Indoor,Medium,Low,Regular,Decoration,ZZ Plant
Urban,105,30.5,70.4,10.3,4.1,0.36,54.4,High,5,47,31,38,26,0,Partial Shade,Clay,7.2,Good,Indoor,Large,Low,Rare,Decoration,Snake Plant
Rural,66,22.9,57.4,6.0,2.8,0.21,60.0,Medium,74,50,31,81,263,0,Full Sun,Sandy,6.1,Moderate,Balcony,Medium,Medium,Regular,Shade,Coconut
Urban,68,24.9,51.8,6.0,2.7,0.24,53.2,Low,60,37,39,62,5,9,Partial Shade,Clay,6.5,Good,Balcony,Medium,Low,Rare,Shade,Aloe Vera
Residential,48,18.3,48.9,3.9,2.0,0.15,51.0,Low,83,36,21,35,86,9,Full Sun,Loamy,6.7,Good,Outdoor,Medium,Medium,Rare,Decoration,Bougainvillea
Residential,90,27.9,65.4,10.3,3.6,0.38,57.9,High,36,82,30,58,45,14,Partial Shade,Loamy,6.8,Good,Outdoor,Large,High,Frequent,Air Purification,Peepal
Rural,53,19.9,48.8,5.1,2.0,0.22,42.4,Medium,85,37,27,37,195,9,Full Shade,Sandy,5.6,Moderate,Outdoor,Medium,Medium,Rare,Air Purification,Snake Plant
Residential,87,26.2,61.2,9.1,3.1,0.31,57.4,Medium,58,58,32,27,88,11,Full Sun,Loamy,6.0,Moderate,Outdoor,Medium,Medium,Frequent,Decoration,Ashoka
Residential,65,18.8,54.8,6.0,2.6,0.24,50.4,Medium,38,42,25,54,0,4,Partial Shade,Loamy,6.9,Good,Indoor,Large,Medium,Regular,Decoration,Spider Plant
Residential,77,28.7,59.1,7.1,3.8,0.29,48.6,Medium,55,60,27,57,74,14,Full Shade,Sandy,6.9,Moderate,Outdoor,Medium,Medium,Rare,Edible,Mango
Residential,73,29.0,58.7,5.8,3.8,0.27,55.2,Medium,52,65,30,60,153,0,Full Sun,Clay,7.0,Good,Indoor,Medium,Medium,Rare,Edible,Tulsi
Rural,45,18.4,39.3,3.9,2.5,0.15,44.4,Low,38,10,31,57,208,4,Partial Shade,Sandy,5.6,Moderate,Indoor,Medium,Medium,Rare,Shade,Ashoka
Urban,101,30.5,73.8,10.3,4.3,0.37,54.1,High,13,75,34,44,0,0,Partial Shade,Loamy,7.3,Moderate,Indoor,Small,Low,Regular,Decoration,ZZ Plant
Residential,90,36.7,73.1,9.4,2.6,0.33,51.3,High,30,84,27,48,40,0,Partial Shade,Sandy,6.7,Good,Indoor,Medium,Medium,Frequent,Decoration,ZZ Plant
Rural,46,17.4,45.7,3.7,1.5,0.21,50.2,Low,89,37,34,44,79,12,Full Sun,Clay,7.2,Good,Outdoor,Medium,Medium,Regular,Air Purification,Neem
Rural,89,32.4,62.2,10.6,3.3,0.33,61.7,High,5,64,32,32,80,13,Full Sun,Sandy,5.9,Good,Balcony,Small,Low,Rare,Air Purification,Aloe Vera
Residential,75,28.8,54.6,8.4,3.1,0.24,67.9,Medium,57,47,25,81,284,14,Full Sun,Sandy,6.5,Good,Outdoor,Large,Medium,Frequent,Edible,Coconut
Residential,53,21.6,45.9,4.0,2.0,0.17,54.5,Low,89,35,23,54,172,6,Full Sun,Loamy,7.0,Good,Outdoor,Medium,High,Frequent,Edible,Mango
Urban,68,23.2,46.7,7.2,2.7,0.27,53.6,Low,52,41,42,39,42,3,Partial Shade,Loamy,7.3,Good,Outdoor,Small,Medium,Regular,Edible,Mango
Urban,64,23.1,52.2,5.1,3.3,0.21,51.4,Low,69,39,32,50,116,9,Partial Shade,Sandy,6.3,Good,Indoor,Medium,High,Regular,Edible,Mango
Urban,95,34.2,74.1,9.4,4.2,0.42,49.4,High,24,79,31,92,349,1,Partial Shade,Loamy,7.2,Good,Indoor,Medium,Medium,Frequent,Decoration,Areca Palm
