AreaType,AQI,PM2.5,PM10,NO2,SO2,CO,O3,TrafficDensity,RoadDistance,DustIndex,Temperature,Humidity,Rainfall,WindSpeed,Sunlight,SoilType,SoilPH,Drainage,SpaceType,AreaSize,MaintenanceLevel,WateringPreference,Purpose,RecommendedPlant
Residential,58,11.4,23.1,15.4,5.8,0.79,78.8,Low,79,76,30,32,348,8,Full Sun,Clay,5.8,Moderate,Balcony,Small,High,Frequent,Decoration,Bougainvillea
Rural,76,30.9,55.9,13.1,4.9,0.69,79.0,Medium,70,83,27,76,119,4,Partial Shade,Clay,5.0,Moderate,Balcony,Small,Medium,Frequent,Air Purification,Snake Plant
Residential,105,33.7,61.0,5.0,5.9,0.12,37.0,Low,32,11,37,65,396,4,Full Sun,Clay,6.1,Moderate,Outdoor,Large,Low,Rare,Decoration,Ashoka
Residential,88,20.8,41.1,9.7,3.1,0.29,83.2,Low,131,67,32,78,315,0,Full Sun,Sandy,6.2,Good,Outdoor,Large,Medium,Regular,Edible,Coconut
Urban,89,19.2,36.1,1.2,3.1,0.74,74.8,High,84,62,28,73,225,0,Full Sun,Loamy,7.8,Moderate,Indoor,Medium,High,Frequent,Edible,Tulsi
Urban,64,28.9,55.5,11.3,5.1,0.18,83.6,Low,38,94,20,71,363,2,Full Shade,Sandy,7.1,Moderate,Indoor,Medium,High,Regular,Shade,Areca Palm
Residential,84,15.5,29.8,4.9,6.4,0.39,53.6,High,97,54,25,73,70,9,Full Sun,Loamy,5.4,Moderate,Outdoor,Large,Low,Frequent,Shade,Neem
Rural,103,39.2,75.3,13.3,2.2,0.59,71.2,Low,47,63,18,93,149,6,Partial Shade,Sandy,7.1,Moderate,Balcony,Small,High,Regular,Air Purification,Areca Palm
Residential,105,28.5,57.3,6.9,1.1,0.25,45.6,Low,65,81,16,45,66,8,Full Sun,Loamy,6.1,Moderate,Indoor,Medium,Medium,Frequent,Shade,Snake Plant
Residential,72,26.2,53.3,16.3,0.9,0.32,51.2,Medium,138,80,21,35,76,15,Partial Shade,Clay,5.1,Good,Balcony,Small,Medium,Frequent,Air Purification,Snake Plant
Residential,33,10.6,22.4,17.0,5.6,0.55,54.6,Low,39,64,21,86,290,12,Partial Shade,Sandy,5.2,Moderate,Outdoor,Large,Medium,Regular,Air Purification,Banyan
Rural,37,21.1,39.1,19.1,6.2,0.77,54.9,Medium,135,31,25,31,235,17,Full Sun,Clay,8.1,Moderate,Balcony,Small,Medium,Regular,Shade,Bamboo
Rural,91,17.0,32.6,8.6,6.9,0.24,58.0,Medium,38,25,26,91,190,16,Full Sun,Sandy,5.3,Moderate,Outdoor,Large,Low,Frequent,Air Purification,Neem
Residential,68,42.0,87.0,12.0,3.4,0.73,35.6,Medium,112,54,29,84,208,4,Full Shade,Loamy,7.0,Good,Indoor,Medium,High,Rare,Air Purification,Snake Plant
Residential,78,11.2,20.2,9.9,1.5,0.26,40.5,Low,13,65,27,56,258,3,Full Sun,Sandy,5.4,Moderate,Balcony,Small,Low,Regular,Decoration,Bougainvillea
Rural,31,29.2,59.2,7.1,2.4,0.4,47.5,High,112,27,29,56,174,7,Full Sun,Clay,6.2,Good,Indoor,Medium,Low,Regular,Decoration,Areca Palm
Urban,50,25.3,55.1,18.9,4.4,0.11,46.2,Low,11,76,31,49,270,17,Full Sun,Sandy,6.3,Good,Outdoor,Large,Low,Rare,Shade,Neem
Residential,59,9.4,18.6,15.4,5.8,0.21,80.8,High,6,23,16,30,295,19,Full Sun,Loamy,6.5,Good,Balcony,Small,Low,Frequent,Shade,Bamboo
Residential,39,42.6,80.0,8.9,1.4,0.7,58.1,Medium,26,59,32,62,198,8,Partial Shade,Sandy,7.8,Moderate,Balcony,Small,Medium,Frequent,Air Purification,Snake Plant
Residential,76,26.7,49.9,16.7,0.9,0.62,73.0,Medium,41,69,19,62,370,19,Partial Shade,Sandy,5.8,Good,Outdoor,Large,Medium,Regular,Edible,Coconut
Rural,59,41.5,79.4,2.7,6.9,0.59,36.1,Medium,34,53,20,37,327,20,Full Shade,Sandy,6.3,Good,Outdoor,Large,Medium,Frequent,Air Purification,Banyan
Urban,59,36.6,71.3,4.8,6.6,0.74,80.3,Medium,137,71,30,73,185,11,Partial Shade,Sandy,8.0,Moderate,Balcony,Small,Low,Regular,Air Purification,Areca Palm
Urban,40,9.8,20.3,13.1,6.7,0.17,44.1,High,129,17,39,88,320,15,Partial Shade,Loamy,6.3,Good,Indoor,Medium,Low,Regular,Edible,Tulsi
Residential,34,22.1,44.8,8.9,6.3,0.19,41.5,Medium,109,18,26,68,369,13,Full Sun,Clay,8.2,Moderate,Outdoor,Large,Low,Regular,Decoration,Ashoka
Urban,40,40.6,76.7,15.2,0.8,0.6,50.1,Low,30,42,21,35,393,3,Partial Shade,Loamy,5.9,Good,Indoor,Medium,Low,Regular,Air Purification,Snake Plant
Rural,96,24.7,49.7,17.7,3.2,0.27,52.2,Low,16,93,41,92,82,12,Full Sun,Loamy,7.2,Moderate,Outdoor,Large,High,Frequent,Edible,Guava
Residential,41,21.4,39.4,15.4,7.3,0.75,71.8,Medium,146,66,37,44,107,13,Partial Shade,Loamy,7.7,Poor,Indoor,Medium,High,Regular,Decoration,Spider Plant
Residential,74,30.7,56.3,3.6,4.2,0.75,44.4,Low,109,96,25,40,51,13,Full Sun,Sandy,6.2,Good,Outdoor,Large,Medium,Regular,Edible,Coconut
Urban,54,10.5,20.4,13.2,2.7,0.18,53.7,Low,7,64,32,78,294,11,Full Sun,Clay,6.5,Poor,Indoor,Medium,Medium,Regular,Air Purification,Areca Palm
Urban,95,33.7,71.7,14.1,3.8,0.33,85.3,High,69,35,24,58,333,20,Partial Shade,Sandy,7.8,Moderate,Balcony,Small,High,Regular,Shade,Bamboo
Urban,91,16.1,30.1,17.5,5.8,0.7,61.7,High,14,42,40,37,354,6,Full Shade,Sandy,8.0,Poor,Balcony,Small,Low,Frequent,Air Purification,Snake Plant
Urban,97,13.9,26.8,17.6,4.0,0.66,87.1,Medium,76,97,17,79,292,19,Partial Shade,Sandy,7.3,Good,Balcony,Small,Low,Regular,Shade,Bamboo
Residential,39,41.5,80.7,5.2,6.7,0.31,33.5,High,6,93,37,84,170,15,Full Shade,Sandy,7.6,Moderate,Indoor,Medium,Low,Frequent,Shade,Snake Plant
Rural,67,40.8,81.6,8.8,5.3,0.6,76.0,High,56,43,23,58,258,3,Full Sun,Loamy,7.1,Good,Outdoor,Large,Low,Rare,Shade,Neem
Urban,69,42.1,81.3,19.7,6.4,0.3,64.5,Low,145,69,30,30,368,20,Partial Shade,Loamy,6.4,Moderate,Indoor,Medium,Medium,Frequent,Decoration,Spider Plant
Urban,76,17.7,33.8,5.7,0.7,0.62,33.3,Medium,39,69,20,74,232,6,Full Sun,Loamy,6.5,Moderate,Balcony,Small,High,Rare,Shade,Bamboo
Urban,84,37.9,77.3,17.2,7.0,0.29,48.6,High,110,61,30,55,211,1,Full Sun,Clay,6.3,Good,Outdoor,Large,Low,Regular,Shade,Mango
Urban,36,36.9,77.1,6.2,5.5,0.57,71.7,Medium,8,92,41,90,269,3,Partial Shade,Loamy,7.8,Good,Indoor,Medium,Low,Frequent,Shade,Snake Plant
Rural,46,16.6,35.8,8.6,1.1,0.31,90.0,High,7,49,41,50,174,1,Full Shade,Sandy,6.4,Moderate,Balcony,Small,Low,Regular,Air Purification,Areca Palm
Residential,37,17.4,38.3,1.9,1.8,0.58,54.9,Low,93,63,23,55,181,9,Partial Shade,Loamy,7.0,Good,Indoor,Medium,Low,Regular,Decoration,Money Plant
Residential,83,11.1,23.1,2.1,1.5,0.64,49.2,Medium,106,39,20,94,110,19,Full Shade,Clay,7.3,Good,Balcony,Small,Medium,Frequent,Decoration,Spider Plant
Urban,91,33.9,68.4,15.5,1.7,0.38,36.6,High,101,17,25,48,141,9,Full Sun,Loamy,6.1,Good,Indoor,Medium,Low,Rare,Air Purification,Snake Plant
Urban,61,19.5,37.7,6.4,1.5,0.38,68.1,High,37,24,22,34,54,19,Full Sun,Sandy,6.1,Moderate,Outdoor,Large,Medium,Frequent,Shade,Neem
Residential,41,27.0,49.2,11.2,6.8,0.33,62.8,Medium,18,72,23,53,200,11,Full Shade,Loamy,7.7,Moderate,Balcony,Small,Medium,Frequent,Air Purification,Snake Plant
Urban,41,31.0,67.5,3.5,2.0,0.6,67.1,High,76,68,26,57,356,17,Full Sun,Loamy,7.7,Moderate,Outdoor,Large,Medium,Rare,Edible,Guava
Urban,58,11.6,24.4,9.1,5.4,0.26,45.7,Medium,139,22,33,81,302,17,Full Sun,Loamy,5.0,Moderate,Outdoor,Large,Low,Rare,Air Purification,Neem
Residential,84,13.6,29.3,9.1,0.6,0.59,88.2,Low,12,44,30,80,379,1,Partial Shade,Loamy,6.3,Poor,Indoor,Medium,Low,Frequent,Decoration,Money Plant
Residential,95,14.4,30.2,8.2,1.9,0.17,54.9,Medium,37,29,35,52,148,11,Full Sun,Loamy,8.1,Good,Balcony,Small,Medium,Frequent,Air Purification,Bamboo
Urban,73,24.1,53.0,16.1,6.0,0.68,50.2,Low,144,90,30,33,171,0,Full Sun,Sandy,7.9,Moderate,Outdoor,Large,Low,Regular,Air Purification,Neem
Urban,55,24.8,53.0,4.4,7.6,0.33,37.8,Medium,102,18,23,75,358,10,Full Sun,Sandy,5.4,Good,Balcony,Small,Low,Regular,Air Purification,Bamboo
Urban,75,24.1,50.1,10.5,2.5,0.54,85.5,High,27,13,25,73,284,15,Full Sun,Clay,7.1,Good,Balcony,Small,Medium,Frequent,Shade,Bamboo
Rural,64,13.2,27.7,7.0,7.2,0.27,31.1,Low,50,12,26,46,330,10,Full Sun,Loamy,6.3,Moderate,Outdoor,Large,Medium,Regular,Decoration,Ashoka
Rural,91,37.8,83.0,16.1,7.9,0.14,56.9,Low,76,51,20,88,382,15,Full Sun,Sandy,7.2,Good,Outdoor,Large,Low,Regular,Edible,Coconut
Residential,104,21.4,42.6,6.4,1.5,0.18,68.0,Medium,143,44,23,63,145,19,Full Sun,Loamy,5.5,Good,Balcony,Small,Medium,Rare,Air Purification,Bamboo
Urban,54,9.8,21.6,7.6,5.3,0.46,63.6,Medium,88,23,33,62,306,18,Full Sun,Loamy,5.3,Good,Indoor,Medium,Medium,Frequent,Air Purification,Areca Palm
Rural,38,38.3,83.1,13.8,7.0,0.13,86.8,High,25,60,32,31,339,7,Full Shade,Sandy,5.9,Moderate,Outdoor,Large,Low,Rare,Shade,Neem
Urban,94,38.0,83.3,1.2,3.3,0.7,84.5,High,61,28,34,70,51,3,Full Sun,Loamy,6.2,Moderate,Balcony,Small,High,Regular,Edible,Guava
Urban,57,17.9,36.7,4.5,2.7,0.4,55.5,Medium,75,37,39,40,63,20,Partial Shade,Loamy,7.1,Good,Indoor,Medium,Low,Frequent,Edible,Tulsi
Residential,77,42.7,81.9,4.5,1.0,0.14,44.0,Low,56,18,22,80,285,17,Partial Shade,Loamy,8.1,Good,Outdoor,Large,Medium,Regular,Air Purification,Banyan
Rural,82,22.2,46.5,11.4,7.1,0.55,56.1,High,60,44,40,62,130,7,Full Sun,Sandy,6.9,Moderate,Outdoor,Large,Low,Rare,Shade,Neem
Urban,79,38.1,80.9,12.0,3.8,0.29,44.6,Low,24,10,24,31,358,13,Full Sun,Sandy,7.3,Poor,Outdoor,Large,High,Rare,Air Purification,Neem
Urban,52,25.7,47.0,7.6,2.1,0.63,49.4,Medium,12,99,23,40,329,8,Full Sun,Clay,7.0,Good,Outdoor,Large,Medium,Rare,Edible,Guava
Urban,74,12.7,27.0,14.0,5.6,0.52,79.5,Medium,84,58,41,36,97,11,Full Shade,Loamy,7.9,Good,Indoor,Medium,Medium,Regular,Air Purification,Peace Lily
Urban,82,27.9,60.5,14.0,1.6,0.29,69.6,High,103,63,37,51,210,14,Full Shade,Loamy,5.5,Poor,Indoor,Medium,Low,Frequent,Air Purification,Snake Plant
Rural,89,27.3,53.8,1.5,5.6,0.53,72.0,High,147,27,30,52,207,14,Full Sun,Loamy,7.1,Good,Outdoor,Large,Low,Regular,Decoration,Ashoka
Urban,105,28.2,53.6,1.6,7.2,0.62,75.7,Low,63,15,15,52,64,5,Partial Shade,Loamy,5.5,Good,Outdoor,Large,Medium,Regular,Edible,Mango
Residential,45,27.5,52.8,18.7,4.7,0.41,88.4,Low,74,84,16,49,99,17,Full Sun,Loamy,5.3,Moderate,Indoor,Medium,Low,Frequent,Decoration,Areca Palm
Urban,85,35.1,70.9,10.4,4.4,0.7,35.9,Medium,138,71,40,91,353,15,Full Sun,Loamy,6.7,Good,Indoor,Medium,Medium,Rare,Shade,Snake Plant
Residential,57,19.8,38.2,13.2,6.8,0.31,63.8,High,78,17,27,79,216,4,Full Sun,Sandy,5.2,Good,Balcony,Small,Medium,Regular,Air Purification,Bamboo
Urban,51,19.6,36.0,9.8,4.8,0.53,34.8,Low,97,77,34,79,373,14,Partial Shade,Clay,6.5,Good,Indoor,Medium,Medium,Regular,Shade,Areca Palm
Residential,45,20.5,44.8,5.9,3.2,0.51,89.1,Medium,109,58,35,56,349,3,Partial Shade,Loamy,8.2,Good,Indoor,Medium,Low,Frequent,Shade,Snake Plant
Urban,60,30.9,56.0,12.1,4.8,0.73,71.4,High,82,77,36,34,111,17,Partial Shade,Loamy,6.3,Moderate,Indoor,Medium,Low,Regular,Air Purification,Snake Plant
Urban,60,41.6,81.5,5.9,5.5,0.64,69.9,Medium,44,44,25,54,287,16,Partial Shade,Clay,6.1,Moderate,Indoor,Medium,Medium,Regular,Air Purification,Peace Lily
Residential,81,18.8,39.0,6.8,1.2,0.6,57.9,High,71,32,25,63,185,17,Full Sun,Sandy,5.0,Moderate,Indoor,Medium,Medium,Rare,Edible,Aloe Vera
Residential,87,42.0,85.6,4.4,2.3,0.58,40.3,Medium,135,34,38,69,177,17,Full Shade,Sandy,5.8,Moderate,Indoor,Medium,Medium,Frequent,Air Purification,Peace Lily
Urban,38,39.7,82.5,4.7,3.6,0.48,64.3,Medium,87,70,33,74,123,5,Full Sun,Clay,7.6,Moderate,Indoor,Medium,Medium,Rare,Decoration,Areca Palm
Residential,46,32.3,69.3,11.5,0.5,0.61,42.2,Low,92,31,20,67,148,12,Full Shade,Loamy,7.3,Moderate,Outdoor,Large,Low,Frequent,Shade,Neem
Residential,62,36.1,69.7,5.1,2.7,0.52,55.1,Low,20,13,30,57,254,15,Full Sun,Loamy,6.9,Moderate,Indoor,Medium,Low,Regular,Decoration,Areca Palm
Residential,38,15.8,34.3,4.1,3.3,0.71,30.7,Low,56,26,35,73,307,8,Partial Shade,Loamy,7.6,Good,Indoor,Medium,Low,Regular,Air Purification,Snake Plant
Urban,60,41.2,87.3,7.2,1.0,0.61,45.8,Low,31,46,36,81,164,2,Full Sun,Sandy,5.2,Moderate,Balcony,Small,Medium,Rare,Edible,Guava
Residential,103,16.5,30.1,17.1,1.1,0.67,64.6,Medium,127,90,34,59,247,3,Partial Shade,Sandy,7.7,Moderate,Indoor,Medium,Low,Regular,Decoration,Snake Plant
Urban,74,13.5,27.8,12.2,2.3,0.34,35.1,Medium,134,33,21,76,274,18,Partial Shade,Loamy,5.1,Poor,Indoor,Medium,Medium,Frequent,Air Purification,Peace Lily
Residential,40,15.0,28.7,3.1,5.1,0.16,34.5,Low,40,78,33,88,121,2,Full Shade,Loamy,5.1,Good,Indoor,Medium,High,Frequent,Air Purification,Peace Lily
Rural,65,12.9,24.2,2.8,4.7,0.59,88.7,Low,24,20,21,50,212,4,Partial Shade,Loamy,7.4,Moderate,Outdoor,Large,Low,Frequent,Edible,Guava
Urban,71,30.7,61.5,1.6,7.3,0.62,48.2,Medium,53,89,39,37,135,4,Full Sun,Sandy,6.7,Poor,Balcony,Small,Low,Frequent,Shade,Bamboo
Residential,91,42.9,90.6,14.0,5.4,0.19,83.6,Low,35,39,24,44,125,1,Full Sun,Loamy,5.1,Good,Balcony,Small,Low,Rare,Air Purification,Bamboo
Residential,104,12.1,24.2,8.5,3.5,0.43,68.8,High,134,18,32,80,336,20,Full Sun,Loamy,5.2,Good,Balcony,Small,Medium,Regular,Shade,Bamboo
Urban,52,19.6,37.5,12.4,1.0,0.54,40.5,Medium,118,89,25,60,180,10,Partial Shade,Clay,6.9,Moderate,Outdoor,Large,High,Frequent,Edible,Guava
Residential,50,15.0,31.1,7.5,2.4,0.38,71.5,Medium,52,22,32,52,279,2,Full Sun,Loamy,5.0,Good,Outdoor,Large,Medium,Regular,Decoration,Ashoka
Residential,59,20.5,39.5,15.2,0.8,0.4,64.2,Low,139,89,32,35,261,11,Full Shade,Sandy,7.8,Poor,Balcony,Small,High,Regular,Air Purification,Areca Palm
Residential,95,11.0,22.5,7.3,2.2,0.14,71.6,High,8,20,31,89,382,6,Full Shade,Loamy,6.8,Good,Indoor,Medium,Low,Regular,Air Purification,Snake Plant
Urban,32,25.9,55.1,10.0,6.3,0.56,66.8,Low,19,81,26,67,65,13,Partial Shade,Clay,5.4,Moderate,Outdoor,Large,Low,Regular,Air Purification,Neem
Urban,80,41.9,85.0,1.1,2.4,0.25,76.8,Medium,67,45,35,34,226,5,Partial Shade,Sandy,6.1,Moderate,Indoor,Medium,Medium,Rare,Air Purification,Snake Plant
Urban,61,33.8,67.0,17.0,2.9,0.53,64.7,Medium,112,86,17,57,271,19,Partial Shade,Sandy,5.0,Poor,Indoor,Medium,Low,Frequent,Shade,Snake Plant
Residential,78,31.5,60.2,4.0,0.7,0.47,82.7,Medium,67,70,37,48,389,8,Partial Shade,Loamy,6.4,Good,Indoor,Medium,Medium,Regular,Air Purification,Peace Lily
Rural,53,27.2,50.3,13.6,7.6,0.4,65.9,Medium,34,16,28,92,369,4,Partial Shade,Sandy,6.3,Good,Balcony,Small,Medium,Frequent,Air Purification,Snake Plant
Residential,39,32.7,68.6,10.3,3.3,0.34,36.1,Medium,15,26,22,51,72,7,Full Sun,Sandy,5.6,Good,Balcony,Small,Medium,Rare,Decoration,Bougainvillea
Rural,87,23.1,47.8,12.2,3.7,0.74,82.7,Medium,136,80,15,88,175,10,Full Sun,Clay,7.6,Good,Indoor,Medium,Medium,Regular,Edible,Tulsi
Residential,50,43.0,91.0,1.6,6.6,0.3,77.4,Medium,43,48,23,67,326,8,Full Sun,Sandy,7.9,Moderate,Indoor,Medium,High,Regular,Decoration,Areca Palm
Residential,38,28.2,61.3,10.5,7.3,0.31,81.3,High,141,46,33,33,353,15,Full Sun,Sandy,6.8,Good,Indoor,Medium,High,Regular,Decoration,Areca Palm
Urban,57,39.9,81.3,8.5,4.3,0.26,81.9,Low,101,45,29,49,396,14,Partial Shade,Clay,8.0,Poor,Indoor,Medium,Medium,Rare,Air Purification,Snake Plant
Urban,103,17.8,34.2,5.1,4.5,0.3,86.1,Medium,108,58,20,66,303,16,Full Sun,Loamy,5.1,Moderate,Balcony,Small,Low,Regular,Decoration,Bougainvillea
Residential,65,27.0,53.1,2.6,7.0,0.14,59.9,High,23,99,39,88,317,9,Full Sun,Loamy,5.7,Moderate,Balcony,Small,Medium,Frequent,Air Purification,Bamboo
Residential,100,22.5,44.7,9.5,4.9,0.18,65.8,Medium,141,21,33,32,171,20,Full Sun,Loamy,7.6,Moderate,Balcony,Small,Medium,Rare,Air Purification,Bamboo
Urban,40,29.4,63.8,5.8,4.8,0.62,67.4,Low,128,92,21,91,338,0,Partial Shade,Loamy,6.7,Good,Balcony,Small,Low,Rare,Decoration,Money Plant
Urban,47,33.1,62.0,18.3,3.1,0.21,38.0,Medium,76,56,25,47,336,9,Partial Shade,Loamy,5.2,Good,Outdoor,Large,Low,Regular,Edible,Mango
Rural,64,30.2,65.5,10.4,7.6,0.37,76.3,Medium,103,94,33,93,398,14,Full Shade,Loamy,7.5,Good,Balcony,Small,Medium,Frequent,Edible,Aloe Vera
Residential,51,23.1,49.5,7.1,1.5,0.74,60.8,High,133,53,28,31,349,7,Full Sun,Sandy,5.4,Poor,Outdoor,Large,Low,Rare,Air Purification,Neem
Rural,80,28.3,56.0,16.6,2.0,0.46,80.0,Low,22,94,15,44,168,5,Full Shade,Loamy,5.3,Moderate,Outdoor,Large,High,Regular,Edible,Mango
Urban,35,34.2,62.4,1.1,1.9,0.71,52.9,High,148,17,16,77,198,15,Full Shade,Sandy,5.6,Moderate,Indoor,Medium,Low,Regular,Decoration,ZZ Plant
Residential,72,16.3,34.7,3.3,5.2,0.23,75.1,Medium,12,34,30,35,55,19,Partial Shade,Sandy,5.2,Moderate,Indoor,Medium,Medium,Frequent,Decoration,Spider Plant
Residential,36,26.5,48.2,7.3,7.5,0.39,49.1,Low,148,71,34,37,182,2,Full Sun,Loamy,8.0,Moderate,Indoor,Medium,Low,Regular,Shade,Areca Palm
Urban,96,15.7,33.9,13.4,0.7,0.41,83.1,Medium,35,85,31,58,372,18,Full Sun,Loamy,7.9,Good,Balcony,Small,Medium,Frequent,Shade,Bamboo
Residential,93,28.1,58.9,8.5,7.5,0.23,48.1,Low,34,47,24,93,154,14,Partial Shade,Sandy,7.4,Good,Outdoor,Large,Low,Rare,Air Purification,Neem
Urban,45,26.3,51.0,15.2,7.9,0.65,61.9,Medium,134,47,36,89,374,1,Partial Shade,Loamy,7.6,Good,Indoor,Medium,Medium,Regular,Air Purification,Peace Lily
Residential,65,19.9,36.1,8.2,3.0,0.78,56.9,Medium,11,36,26,69,262,6,Full Shade,Sandy,6.7,Good,Balcony,Small,Medium,Frequent,Decoration,Spider Plant
Residential,65,41.7,90.7,17.1,7.9,0.5,42.5,High,54,85,20,94,396,16,Full Sun,Loamy,8.1,Good,Balcony,Small,Medium,Regular,Air Purification,Bamboo
Rural,66,30.5,59.1,19.3,7.4,0.46,47.4,Medium,104,69,26,45,142,0,Full Sun,Sandy,6.4,Good,Outdoor,Large,Medium,Frequent,Decoration,Bougainvillea
Residential,76,37.3,77.1,13.8,6.2,0.25,33.6,Low,10,78,18,85,82,19,Full Sun,Loamy,7.3,Good,Indoor,Medium,Medium,Rare,Decoration,Areca Palm
Urban,63,36.7,75.3,12.2,1.2,0.36,38.5,High,92,57,39,77,259,9,Partial Shade,Loamy,5.2,Good,Indoor,Medium,Medium,Frequent,Shade,Snake Plant
Rural,65,15.1,30.0,16.2,1.5,0.52,34.2,High,55,99,34,94,336,6,Full Shade,Sandy,6.2,Good,Outdoor,Large,High,Rare,Decoration,Bamboo
Urban,73,36.3,70.8,10.9,1.9,0.76,34.0,Medium,144,75,16,65,76,1,Partial Shade,Loamy,6.9,Good,Outdoor,Large,Medium,Rare,Edible,Guava
Urban,65,28.4,51.3,7.1,4.5,0.58,40.3,Low,41,95,17,45,249,1,Partial Shade,Sandy,5.3,Good,Indoor,Medium,Low,Regular,Shade,Areca Palm
Residential,32,29.1,56.1,4.9,1.5,0.64,54.3,High,53,83,15,87,328,5,Partial Shade,Sandy,6.2,Moderate,Balcony,Small,High,Frequent,Air Purification,Snake Plant
Residential,30,15.0,29.4,13.3,1.0,0.27,90.0,Medium,84,93,17,79,228,17,Partial Shade,Loamy,6.1,Good,Indoor,Medium,Medium,Frequent,Shade,Snake Plant
Residential,33,25.3,48.5,16.3,6.2,0.21,66.3,High,56,77,41,34,273,2,Full Sun,Sandy,8.0,Moderate,Balcony,Small,Medium,Regular,Edible,Guava
Rural,94,24.7,48.7,6.2,1.2,0.46,43.9,Medium,115,23,22,70,299,3,Full Shade,Sandy,5.7,Poor,Balcony,Small,High,Frequent,Shade,Bamboo
Residential,50,13.7,29.8,1.8,4.4,0.29,46.1,High,46,36,29,94,291,13,Full Shade,Clay,6.3,Moderate,Balcony,Small,Low,Regular,Decoration,Money Plant
Residential,87,39.8,72.7,2.7,6.4,0.27,65.9,Low,41,59,15,87,150,7,Partial Shade,Clay,7.0,Moderate,Outdoor,Large,Medium,Regular,Edible,Mango
Urban,62,18.5,35.9,5.5,1.2,0.76,68.6,Medium,123,80,20,50,319,4,Full Sun,Sandy,7.0,Good,Indoor,Medium,Low,Frequent,Decoration,Areca Palm
Urban,56,17.4,34.7,4.3,5.7,0.74,64.4,High,24,36,39,59,338,15,Full Shade,Sandy,7.6,Moderate,Balcony,Small,Medium,Rare,Air Purification,Snake Plant
Urban,89,32.7,66.5,4.8,4.6,0.17,32.4,High,111,98,36,52,57,11,Full Sun,Loamy,7.9,Good,Outdoor,Large,Low,Rare,Air Purification,Neem
Rural,105,16.8,33.3,18.1,3.3,0.63,74.2,Low,139,84,41,47,258,8,Partial Shade,Sandy,6.4,Moderate,Outdoor,Large,Medium,Rare,Shade,Banyan
Urban,59,36.8,79.3,18.5,4.7,0.41,58.0,Medium,109,25,18,34,95,2,Full Shade,Sandy,8.0,Good,Indoor,Medium,Medium,Rare,Decoration,Peace Lily
Residential,92,18.5,40.2,10.2,7.8,0.47,53.9,Medium,116,70,22,35,129,0,Full Sun,Sandy,7.1,Moderate,Outdoor,Large,Medium,Regular,Decoration,Bougainvillea
Residential,30,42.7,88.1,2.9,0.6,0.73,44.0,Medium,36,51,24,54,170,7,Partial Shade,Loamy,5.3,Moderate,Indoor,Medium,Medium,Regular,Air Purification,Peace Lily
Residential,82,39.0,74.0,16.6,7.8,0.72,39.2,High,27,67,33,91,289,6,Full Sun,Clay,8.0,Good,Outdoor,Large,Medium,Frequent,Air Purification,Peepal
Residential,95,30.1,56.0,3.5,7.4,0.43,85.8,Medium,16,33,31,62,210,4,Partial Shade,Clay,6.8,Good,Indoor,Medium,Medium,Regular,Shade,Areca Palm
Urban,54,40.6,89.3,3.1,6.1,0.77,86.1,High,29,30,33,47,246,2,Full Sun,Clay,6.8,Good,Outdoor,Large,Low,Regular,Air Purification,Neem
Rural,83,17.0,36.9,16.5,3.2,0.35,78.9,Medium,10,52,18,44,309,2,Full Shade,Clay,8.1,Moderate,Indoor,Medium,Low,Regular,Air Purification,Snake Plant
Urban,49,26.7,53.4,18.2,3.3,0.69,77.8,Medium,149,27,19,38,358,7,Partial Shade,Sandy,5.0,Good,Balcony,Small,Low,Regular,Decoration,Money Plant
Urban,105,40.4,87.6,16.5,6.7,0.75,51.5,High,19,42,31,37,287,9,Full Sun,Clay,5.5,Moderate,Outdoor,Large,High,Regular,Shade,Peepal
Rural,34,9.7,18.7,1.6,6.5,0.76,51.8,Medium,34,60,37,65,356,11,Full Shade,Loamy,7.1,Good,Indoor,Medium,High,Regular,Air Purification,Peace Lily
Urban,54,16.5,33.3,7.9,0.9,0.56,81.9,High,37,52,22,46,269,18,Full Sun,Loamy,7.7,Moderate,Outdoor,Large,Medium,Frequent,Shade,Neem
Urban,46,10.3,19.1,19.3,4.9,0.7,50.1,High,15,11,29,69,227,13,Full Shade,Loamy,6.5,Moderate,Indoor,Medium,Medium,Rare,Shade,Snake Plant
Urban,63,26.9,59.0,10.9,5.2,0.28,61.1,Medium,90,61,35,45,312,3,Full Sun,Sandy,6.3,Good,Indoor,Medium,High,Rare,Edible,Aloe Vera
Urban,52,23.7,50.1,12.0,6.4,0.21,69.7,Medium,87,49,30,82,242,8,Partial Shade,Sandy,6.7,Good,Indoor,Medium,Low,Frequent,Decoration,Money Plant
Residential,67,19.2,37.1,19.1,0.6,0.34,80.0,High,60,72,34,63,277,12,Partial Shade,Clay,7.8,Good,Outdoor,Large,Medium,Regular,Decoration,Areca Palm
Urban,79,15.6,28.5,10.5,0.7,0.42,33.8,Low,146,44,19,79,147,4,Partial Shade,Loamy,6.2,Good,Outdoor,Large,Low,Regular,Edible,Mango
Residential,50,20.2,42.3,10.7,7.8,0.31,60.3,High,116,86,38,43,302,18,Full Sun,Loamy,5.2,Good,Outdoor,Large,Low,Regular,Decoration,Ashoka
Urban,45,29.2,62.5,7.8,3.8,0.52,30.3,Medium,44,75,22,56,163,11,Full Sun,Sandy,7.6,Poor,Indoor,Medium,Medium,Regular,Shade,Areca Palm
